STATION_NM,STATION_ID,lon,lat
대림.LG.힐스테이트아파트(중),208000116,126.9044,37.4297
박달삼거리.한양수자인에듀파크,208000060,126.90535,37.40251667
박달삼거리,208000162,126.9054167,37.40231667
석수체육공원.자동차학원,208000093,126.9057333,37.42263333
석수체육공원.자동차학원,208000117,126.9066167,37.42215
병목안삼거리,208000008,126.9065333,37.38591667
갈뫼어린이공원,208000013,126.9066667,37.41018333
석수시장,208000012,126.9066833,37.41125
관악역,208000118,126.9070667,37.41811667
병목안삼거리,208000134,126.9064833,37.38601667
관악역,208000047,126.90675,37.41868333
한마음선원.관악역이안아파트,208000040,126.90735,37.42265
석수현대아파트,208000070,126.9074833,37.41586667
럭키아파트,208000074,126.90785,37.40831667
럭키아파트,208000102,126.9078,37.4085
박석교.삼정빌라,208000088,126.9081667,37.40621667
석수현대아파트,208000130,126.9083167,37.41716667
석수시장.석수현대아파트,208000090,126.9082333,37.41433333
박달우성아파트,208000061,126.9082333,37.40265
박달우성아파트,208000161,126.9083,37.40246667
박석교.삼정빌라,208000075,126.9083,37.40636667
석수현대아파트,208000091,126.9086167,37.41755
관악역,208000092,126.9086833,37.41883333
박달시장,208000076,126.90895,37.4053
금용아파트,208000007,126.9090833,37.38833333
새마을금고,208000011,126.9093833,37.41265
관악역,208000034,126.9092833,37.41991667
박달1동행정복지센터,208000206,126.9091833,37.4045
관악역,208000041,126.9103333,37.41963333
금용아파트,208000135,126.9091833,37.3887
새마을,208000154,126.9096,37.3925
새마을,208000137,126.9094167,37.39258333
삼막동입구,208000018,126.9103667,37.42143333
삼막동입구,208000023,126.9096167,37.42136667
뉴골든아파트,208000136,126.9097833,37.39
박달1동행정복지센터,208000077,126.9098667,37.4038
농협.KT석수시점,208000071,126.9101,37.41268333
뉴골든아파트,208000006,126.9099667,37.38998333
삼성빌라,208000179,126.9110667,37.4018
삼성빌라,208000192,126.9108667,37.40163333
안양대교,208000103,126.9111167,37.40935
안양대교,208000073,126.9112167,37.40918333
안양대교,208000089,126.9111833,37.41086667
박달사거리.박달1동행정복지센터,208000160,126.9113167,37.40248333
박달사거리.박달1동행정복지센터,208000062,126.9113833,37.40268333
프라자아파트,208000153,126.9117,37.39391667
안양대교앞,208000072,126.9118833,37.41058333
느티나무,208000017,126.91195,37.42265
느티나무,208000024,126.9121167,37.42313333
진흥아파트,208000191,126.9124667,37.40031667
진흥아파트,208000180,126.9126333,37.40043333
프라자아파트.안양예고입구,208000138,126.9126333,37.39466667
정우아파트,208000190,126.9130167,37.39838333
정우아파트,208000181,126.91325,37.39815
삼막교,208000016,126.9130167,37.42386667
삼막교,208000025,126.91305,37.42448333
안양예술공원지하도,208000021,126.9135667,37.41028333
안양예술공원지하도,208000020,126.9138667,37.41016667
안양3동행정복지센터,208000182,126.9141,37.3968
안양예술공원,208000033,126.91395,37.41653333
연성대학교,208000189,126.9141667,37.3964
신협,208000205,126.9142667,37.4071
안양해솔학교,208000291,126.9142333,37.4331
안양예술공원,208000042,126.91465,37.41666667
경인교육대후문,208000028,126.9151333,37.43245
정심여자중고등학교,208000026,126.9148833,37.42735
정심여자중고등학교,208000015,126.91505,37.4272
만안초교,208000104,126.915,37.40678333
안양여중고.안양성결교회,208000159,126.9150833,37.40256667
성원아파트,208000183,126.9152,37.39611667
성원아파트,208000188,126.9154167,37.39596667
안양여중고.안양성결교회,208000063,126.9154833,37.40276667
안양여중고,208000204,126.9164333,37.40448333
삼성아파트,208000022,126.91695,37.41418333
삼성.세림아파트,208000019,126.9170333,37.41376667
안양여중고,208000105,126.91735,37.40395
삼덕공원,208000184,126.91785,37.39828333
안양예술공원입구,208000043,126.9179167,37.41558333
삼덕공원,208000187,126.9181167,37.39825
석수지구대,208000032,126.918,37.41501667
경인교육대,208000029,126.9181333,37.43156667
경인교육대,208000014,126.9183,37.43125
시외버스터미널.교보생명,208000158,126.919,37.40145
대동문고,208000064,126.9195,37.40138333
안양사거리.청원놀이터,208000197,126.91945,37.40333333
역전우체국,208000185,126.9195333,37.39958333
장애인복지회관,208000031,126.91965,37.41305
안양중앙시장.안양고용센터,208000157,126.9207833,37.39928333
안양역,208000010,126.9211333,37.40231667
안양1번가.안양고용센터,208000065,126.9214667,37.399
안양1번가.안양역,208000186,126.9221333,37.3982
양명고.양명여고.대우아파트,208000030,126.92275,37.40713333
양명고.양명여고.대우아파트,208000045,126.9234833,37.40686667
벽산상가.2001아울렛,208000156,126.9231667,37.39636667
안양역,208000067,126.9232333,37.40006667
남부시장,208000066,126.9238667,37.39615
안양역,208000068,126.9237667,37.39978333
안양문화원.소방서,208000050,126.9254667,37.39046667
소방서,208000178,126.92525,37.39015
서안양우체국.국제나은병원,208000001,126.9259667,37.39365
안양세무서,208000177,126.9256833,37.38913333
안양세무서,208000051,126.9259167,37.38901667
서안양우체국.국제나은병원,208000155,126.9261,37.3929
우체국사거리.안양초교.중화한방병원,208000095,126.92635,37.39451667
우체국사거리.안양초교.중화한방병원,208000114,126.9261833,37.39478333
남부시장,208000123,126.9266167,37.39668333
남부시장,208000124,126.92635,37.39718333
만안경찰서,208000052,126.9268167,37.38706667
만안경찰서,208000176,126.9266333,37.38698333
만안평생교육센터,208000053,126.9273667,37.3856
만안평생교육센터,208000175,126.9273333,37.3853
만안청소년수련관.태양철물,208000174,126.9284167,37.38353333
만안청소년수련관.태양철물,208000054,126.92855,37.38361667
농림축산검역본부,208000087,126.92875,37.38975
농림축산검역본부,208000002,126.9289,37.3901
수안재,208000173,126.9289667,37.38281667
성결대학,208000055,126.92975,37.38223333
아발론호텔.하이트타운아파트,208000122,126.93,37.39376667
아발론호텔.하이트타운아파트,208000125,126.93045,37.39363333
진흥아파트,208000115,126.9306167,37.39713333
성결대학,208000172,126.9306333,37.3823
만안구청,208000086,126.9310833,37.3869
만안구청,208000003,126.9312167,37.3873
장애인복지회관후문,208000292,126.9200167,37.41345
새마을금고,208000170,126.9317,37.38296667
주접지하도.삼익아파트,208000126,126.9319833,37.39163333
주접지하도.삼익아파트,208000121,126.9321,37.39106667
안양8동,208000171,126.9326667,37.3831
명학역,208000283,126.9358833,37.38521667
성결대학.안양아트센터.명학역,208000085,126.9332333,37.38433333
성결대학.안양아트센터.명학역,208000004,126.93365,37.38441667
평성교회.호정타워,208000120,126.9337667,37.388
평성교회.호정타워,208000127,126.9339833,37.38801667
명학역,208000128,126.9348333,37.38578333
은평교회,208000143,126.9350667,37.39168333
명학역,208000119,126.9349833,37.38466667
유토피아,208000148,126.9351,37.39088333
명학초교,208000080,126.93575,37.3821
명학초교,208000083,126.9356167,37.38163333
태광전자,208000147,126.93785,37.3903
태광전자,208000144,126.9377,37.39041667
효성티앤씨.호계대교,208000048,126.9383667,37.38063333
효성티앤씨.호계대교,208000046,126.9380833,37.38058333
명학대교,208000005,126.9385833,37.3836
미도아파트.메트로병원,208000082,126.9388667,37.37846667
명학대교.안양자동차매매단지,208000084,126.9390667,37.38331667
동아아파트,208000146,126.9392667,37.39011667
동아아파트,208000145,126.9396167,37.39016667
호현마을,208000113,126.8849667,37.40723333
안양역,208000069,126.9222333,37.40145
차고지입구,208000236,126.8935333,37.40905
